category,link,question,answer
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,What are the terms and conditions of Daraz ambassador program?,"Terms and conditions: The influencer can generate links and get 3–10% commission, depending on the product and category.The product needs to be marked delivered for it to show up in their app history. (It will take at least 24 hours for it to be visible in the app after delivery.)If the product is returned, then the commission is not provided.The commission will be credited to the respective bank after 45 days.Daraz Affiliate payments are processed within 45 working days after the end of the mon"
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,Daraz 1.1 Sale,"Teasing TimelineDec 27 - Dec 31 (7.59pm)Live TimelineDec 31 (8.00pm) - Jan 0512.12 Voucher Max DiscountTerms and Condition1. The voucher collected will automatically apply at ""My Cart"" page if criteria is met2. The voucher will be returned to your account only when the entire order the voucher was used on, has been canceled 3. Voucher is not applicable to fine jewelry/gold, digital goods, and milk formula (0 to 3 years old), unless otherwise stated upon collection4. Additional restrictions may a"
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,Why am I unable to use collectible vouchers?,"Users can redeem collected vouchers on a first come first served basis until the redemption budget is met. Once you collect a voucher, you can monitor its progress in the ""My Voucher sectionThe""Progress Bar""displays how much of the voucher has been utilized. Ensure to use it before it's fully redeemed.Additionally, there's a""Timer""feature to remind you to use the voucher before it expires, even if the progress bar shows the remaining availability.Note:Daraz has set limits on the redemption of vo"
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,How to use vouchers?,"Where can I check my vouchers which I have collected?To access your collected vouchers on Daraz, follow these steps:Log in to your Daraz account using your credentials.Proceed to the""My Vouchers"" tabHere, you will be able to see all the collectible vouchers you have acquired during specific campaigns or events.You can further checkCheck""Non-usable""vouchers to review used, expired, or deactivated vouchers.Visit the ""Get More Voucher""tab to collect additional vouchers from the selected platform"
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,Do I have to enter/type a voucher code on checkout to get a bank discount?,"No, payment vouchers are collectible vouchers and no code has to be entered/typed on checkout to avail the bank discount. You have to simply collect the respective voucher to become eligible for the discount.After collection, head towards order placement, enter the card details on the payment page and the discount will get applied automatically."
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,"What promotions are included in Buy More, Save More?","Buy More, Save More offers promotions such as free delivery and product discount based on how much you spend. The more you spend, the greater the promotions you unlock! Refer below for more information."
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,What are bank collectible vouchers? How can we collect such vouchers?,"Payment collectible vouchers, a new feature introduced as a change in way of availing banking discounts in Daraz. It is one of the types of Daraz Collectible vouchers which when only collected allow users to be eligible for the discount through the respective bank card.Collectible Voucher Terms &amp; Conditions:You can use only one voucher per order.Collecting a voucher reserves it for you. You can make a purchase using the voucher anytime till the voucher is valid.Eligible bank voucher are appl"
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,What is the validity of vouchers?,You can check the validity of the Voucher under the Voucher detail.
Promotions,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001259&m_station=page,Can I avail payment voucher which I collected on a respective bank day after the bank day has passed?,No. A payment voucher should be redeemed on the transaction on a specified bank discount day only. The voucher will get expired if you do not use it on the mentioned date.
Account Management,https://buyer-helpcenter.daraz.com.np/s/page/category?categoryId=1000001250&m_station=page,What is the Daraz Buyer Policy?,"We are committed to building a trusted and reliable platform for our community and the Buyer Policy ensures that Daraz operates in a safe and orderly manner, with the aim of creating a pleasant shopping experience for all users of Daraz.Please visit the Privacy &amp; Confidentiality to learn more.How to check the available flash sales?To keep yourself updated on the exciting discounts and Flash Sales, check out the Flash Sale on the Main PageHow to re-order your products that were delivered, ret"
